Data information of 192.168.250.1
Time,Sent Data, Total Data
2020-02-25 03:44:03,1062,298814
2020-02-25 03:44:03,761,299575
2020-02-25 03:44:03,1614,301189
2020-02-25 03:44:03,848,302037
2020-02-25 03:44:04,636,302673
2020-02-25 03:44:09,1056,303729
2020-02-25 03:44:09,806,304535
2020-02-25 03:44:10,1062,305597
2020-02-25 03:44:10,777,306374
2020-02-25 03:44:12,322,306696
2020-02-25 03:44:12,124,306820
2020-02-25 03:44:12,140,306960
2020-02-25 03:44:18,454,307414
2020-02-25 03:44:32,152,307566
2020-02-25 03:44:39,224,307790
2020-02-25 03:44:40,218,308008
2020-02-25 03:44:43,322,308330
2020-02-25 03:44:43,124,308454
2020-02-25 03:44:43,140,308594
2020-02-25 03:44:44,1058,309652
2020-02-25 03:44:44,759,310411
2020-02-25 03:44:53,606,311017
2020-02-25 03:44:54,936,311953
2020-02-25 03:44:58,1070,313023
2020-02-25 03:44:58,877,313900
2020-02-25 03:45:04,152,314052
2020-02-25 03:45:14,322,314374
2020-02-25 03:45:14,124,314498
2020-02-25 03:45:14,140,314638
2020-02-25 03:45:19,1070,315708
2020-02-25 03:45:37,152,315860
2020-02-25 03:45:39,91727,407587
2020-02-25 03:45:41,218,407805
2020-02-25 03:45:46,322,408127
2020-02-25 03:45:46,124,408251
2020-02-25 03:45:46,140,408391
2020-02-25 03:45:51,580,408971
2020-02-25 03:45:56,128,409099
2020-02-25 03:46:09,152,409251
2020-02-25 03:46:17,322,409573
2020-02-25 03:46:17,124,409697
2020-02-25 03:46:17,140,409837
2020-02-25 03:46:18,450,410287
2020-02-25 03:46:37,642,410929
2020-02-25 03:46:41,218,411147
2020-02-25 03:46:41,152,411299
2020-02-25 03:46:48,322,411621
2020-02-25 03:46:48,124,411745
2020-02-25 03:46:48,140,411885
2020-02-25 03:46:57,1076,412961
2020-02-25 03:46:57,768,413729
2020-02-25 03:46:58,580,414309
2020-02-25 03:47:00,716,415025
2020-02-25 03:47:07,464,415489
2020-02-25 03:47:07,488,415977
2020-02-25 03:47:13,152,416129
2020-02-25 03:47:16,740,416869
2020-02-25 03:47:17,761,417630
2020-02-25 03:47:17,1076,418706
2020-02-25 03:47:17,848,419554
2020-02-25 03:47:19,322,419876
2020-02-25 03:47:19,124,420000
2020-02-25 03:47:19,140,420140
2020-02-25 03:47:24,1066,421206
2020-02-25 03:47:24,763,421969
2020-02-25 03:47:30,1062,423031
2020-02-25 03:47:30,777,423808
2020-02-25 03:47:33,1062,424870
2020-02-25 03:47:33,761,425631
2020-02-25 03:47:33,1076,426707
2020-02-25 03:47:33,848,427555
2020-02-25 03:47:36,606,428161
2020-02-25 03:47:36,1070,429231
2020-02-25 03:47:36,877,430108
2020-02-25 03:47:38,512,430620
2020-02-25 03:47:41,218,430838
2020-02-25 03:47:46,152,430990
2020-02-25 03:47:51,322,431312
2020-02-25 03:47:51,124,431436
2020-02-25 03:47:51,140,431576
2020-02-25 03:47:56,464,432040
2020-02-25 03:48:02,580,432620
2020-02-25 03:48:03,1062,433682
2020-02-25 03:48:03,761,434443
2020-02-25 03:48:03,1076,435519
2020-02-25 03:48:03,848,436367
2020-02-25 03:48:08,120,436487
2020-02-25 03:48:08,1058,437545
2020-02-25 03:48:08,759,438304
2020-02-25 03:48:10,138,438442
2020-02-25 03:48:18,152,438594
2020-02-25 03:48:22,322,438916
2020-02-25 03:48:22,124,439040
2020-02-25 03:48:22,140,439180
2020-02-25 03:48:41,218,439398
2020-02-25 03:48:41,1026,440424
2020-02-25 03:48:50,152,440576
2020-02-25 03:48:53,322,440898
2020-02-25 03:48:53,124,441022
2020-02-25 03:48:53,140,441162
2020-02-25 03:49:10,1062,442224
2020-02-25 03:49:10,777,443001
2020-02-25 03:49:21,576,443577
2020-02-25 03:49:22,152,443729
2020-02-25 03:49:25,322,444051
2020-02-25 03:49:25,124,444175
2020-02-25 03:49:25,140,444315
2020-02-25 03:49:26,116,444431
2020-02-25 03:49:42,218,444649
2020-02-25 03:49:44,526,445175
2020-02-25 03:49:44,676,445851
2020-02-25 03:49:44,682,446533
2020-02-25 03:49:44,1076,447609
2020-02-25 03:49:44,120,447729
2020-02-25 03:49:46,526,448255
2020-02-25 03:49:46,676,448931
2020-02-25 03:49:46,682,449613
2020-02-25 03:49:46,1076,450689
2020-02-25 03:49:46,120,450809
2020-02-25 03:49:46,682,451491
2020-02-25 03:49:47,1062,452553
2020-02-25 03:49:47,120,452673
2020-02-25 03:49:49,658,453331
2020-02-25 03:49:55,152,453483
2020-02-25 03:49:56,524,454007
2020-02-25 03:49:57,322,454329
2020-02-25 03:49:57,124,454453
2020-02-25 03:49:57,140,454593
2020-02-25 03:49:57,524,455117
2020-02-25 03:49:59,588,455705
2020-02-25 03:50:01,624,456329
2020-02-25 03:50:02,588,456917
2020-02-25 03:50:05,152,457069
2020-02-25 03:50:06,122,457191
2020-02-25 03:50:06,126,457317
2020-02-25 03:50:06,122,457439
2020-02-25 03:50:06,112,457551
2020-02-25 03:50:08,128,457679
2020-02-25 03:50:08,120,457799
2020-02-25 03:50:08,110,457909
2020-02-25 03:50:08,126,458035
2020-02-25 03:50:08,376,458411
2020-02-25 03:50:10,126,458537
2020-02-25 03:50:19,110,458647
2020-02-25 03:50:19,172,458819
2020-02-25 03:50:27,152,458971
2020-02-25 03:50:28,322,459293
2020-02-25 03:50:28,124,459417
2020-02-25 03:50:28,140,459557
2020-02-25 03:50:32,1064,460621
2020-02-25 03:50:32,810,461431
2020-02-25 03:50:35,712,462143
2020-02-25 03:50:36,642,462785
2020-02-25 03:50:42,488,463273
2020-02-25 03:50:42,1272,464545
2020-02-25 03:50:42,218,464763
2020-02-25 03:50:42,156,464919
2020-02-25 03:50:42,524,465443
2020-02-25 03:50:42,1014,466457
